subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt,prev2resp,prev3resp,prev2stim,prev3stim,prev2rt,prev3rt
1,1,2,48,1,1,1.139,-1,-1,0.096601046354109,-1,1,-1,-1,-0.937940999024775,-0.947622018302929
1,1,2,49,-1,0,1.138,1,1,-0.397955659353567,-1,-1,-1,-1,0.096601046354109,-0.937940999024775
1,1,2,50,1,1,0.929,-1,-1,-0.402292346720646,1,-1,1,-1,-0.397955659353567,0.096601046354109
1,1,2,51,1,1,1.11,1,1,-1.40416741583361,-1,1,-1,1,-0.402292346720646,-0.397955659353567
1,1,2,52,-1,1,1.375,1,1,-0.52529240078197,1,-1,1,-1,-1.40416741583361,-0.402292346720646
1,1,2,53,-1,0,0.838,-1,1,0.531756409417908,1,1,1,1,-0.52529240078197,-1.40416741583361
1,1,2,54,-1,1,1.071,-1,-1,-1.91315870587237,1,1,-1,1,0.531756409417908,-0.52529240078197
1,1,2,55,-1,0,1.254,-1,1,-0.701886567890759,-1,1,-1,-1,-1.91315870587237,0.531756409417908
1,1,2,56,1,0,1.203,-1,-1,0.0769539123900616,1,-1,-1,-1,-0.701886567890759,-1.91315870587237
1,1,2,57,1,1,1.407,1,-1,-0.12804356711348,-1,1,-1,-1,0.0769539123900616,-0.701886567890759
1,1,2,58,1,1,1.496,1,1,0.645344585198922,-1,-1,1,-1,-0.12804356711348,0.0769539123900616
1,1,2,59,-1,0,1.197,1,1,0.948175500805198,1,-1,1,1,0.645344585198922,-0.12804356711348
1,1,2,60,-1,1,1.283,-1,-1,-0.152730209794034,1,1,1,1,0.948175500805198,0.645344585198922
1,1,2,61,1,0,1.025,-1,1,0.189834059004378,-1,1,-1,1,-0.152730209794034,0.948175500805198
1,1,2,62,1,1,0.898,1,-1,-0.918635722229421,1,-1,-1,-1,0.189834059004378,-0.152730209794034
1,1,2,63,-1,0,1.227,1,1,-1.57173343313121,-1,1,1,-1,-0.918635722229421,0.189834059004378
1,1,2,64,1,1,1.289,-1,-1,-0.0305131217186763,1,-1,1,1,-1.57173343313121,-0.918635722229421
1,1,2,65,-1,0,1.05,1,1,0.212869800247111,-1,1,-1,1,-0.0305131217186763,-1.57173343313121
1,1,2,66,-1,0,0.84,-1,-1,-0.799658441037988,1,-1,1,-1,0.212869800247111,-0.0305131217186763
1,1,2,67,1,1,1.076,-1,-1,-1.90138916930979,-1,1,-1,1,-0.799658441037988,0.212869800247111
1,1,2,68,-1,0,1.019,1,1,-0.678890167444585,-1,-1,-1,-1,-1.90138916930979,-0.799658441037988
1,1,2,69,-1,0,0.839,-1,-1,-0.947622018302929,1,-1,1,-1,-0.678890167444585,-1.90138916930979
1,1,2,70,1,0,0.99,-1,-1,-1.90727043057697,-1,1,-1,1,-0.947622018302929,-0.678890167444585
1,1,2,71,1,0,0.984,1,-1,-1.09017271563991,-1,-1,-1,-1,-1.90727043057697,-0.947622018302929
1,1,2,72,-1,0,1.976,1,-1,-1.12018690077537,-1,-1,1,-1,-1.09017271563991,-1.90727043057697
1,1,2,73,-1,0,1.464,-1,-1,2.32213103984518,-1,-1,1,1,-1.12018690077537,-1.09017271563991
1,1,2,74,1,0,1.172,-1,-1,0.841418514623188,-1,-1,-1,1,2.32213103984518,-1.12018690077537
1,1,2,75,-1,0,1.431,1,-1,-0.256940879785978,-1,-1,-1,-1,0.841418514623188,2.32213103984518
1,1,2,76,-1,0,1.826,-1,-1,0.728853015687423,-1,-1,1,-1,-0.256940879785978,0.841418514623188
1,1,2,77,-1,0,1.407,-1,-1,1.93234547873734,-1,-1,-1,1,0.728853015687423,-0.256940879785978
1,1,2,78,-1,0,1.29,-1,-1,0.645344585198922,-1,-1,-1,-1,1.93234547873734,0.728853015687423
1,1,2,79,1,1,1.138,-1,-1,0.216698662982614,-1,-1,-1,-1,0.645344585198922,1.93234547873734
1,2,3,0,1,0,1.003,1,1,-0.402292346720646,-1,-1,-1,-1,0.216698662982614,0.645344585198922
1,2,3,1,1,0,1.485,1,-1,-1.50103484080994,1,-1,1,-1,-0.402292346720646,0.216698662982614
1,2,3,2,-1,0,1.48,1,-1,0.710363712973238,-1,1,1,1,-1.50103484080994,-0.402292346720646
1,2,3,3,1,1,1.262,-1,-1,0.691357638918189,-1,-1,1,1,0.710363712973238,-1.50103484080994
1,2,3,4,1,1,1.942,1,1,-0.206594729546042,-1,-1,-1,1,0.691357638918189,0.710363712973238
1,2,3,5,-1,0,1.335,1,1,2.22233380024155,1,-1,1,-1,-0.206594729546042,0.691357638918189
1,2,3,6,1,1,1.947,-1,-1,0.110297822734714,1,1,1,1,2.22233380024155,-0.206594729546042
