subj_idx,session,block,trial,stimulus,coherence,response,rt,prevstim,prevresp,prev2resp,prev2stim,prev3resp,prev3stim,prevrt
1,1,3,58,81,81,1,0.433841943740845,1,1,-1,-1,-1,-1,0.134530067443848
1,1,3,59,3,3,1,0.517611026763916,1,1,1,1,-1,-1,0.183841943740845
1,1,3,60,3,3,1,0.434256076812744,1,1,1,1,1,1,0.267611026763916
1,1,3,61,0,0,1,0.434226274490356,1,1,1,1,1,1,0.184256076812744
1,1,3,62,3,3,1,0.450484037399292,1,1,1,1,1,1,0.184226274490356
1,1,3,63,27,27,1,0.433799028396606,1,1,1,1,1,1,0.200484037399292
1,1,3,64,-0,0,0,0.533847093582153,1,1,1,1,1,1,0.183799028396606
1,1,3,65,-27,27,0,0.500463962554932,-1,-1,1,1,1,1,0.283847093582153
1,1,3,66,27,27,1,0.500488996505737,-1,-1,-1,-1,1,1,0.250463962554932
1,1,3,67,27,27,1,0.400932550430298,1,1,-1,-1,-1,-1,0.250488996505737
1,1,3,68,9,9,1,0.500488758087158,1,1,1,1,-1,-1,0.150932550430298
1,1,3,69,27,27,1,0.433799982070923,1,1,1,1,1,1,0.250488758087158
1,1,3,70,-27,27,0,0.434251070022583,1,1,1,1,1,1,0.183799982070923
1,1,3,71,27,27,1,0.367612600326538,-1,-1,1,1,1,1,0.184251070022583
1,1,3,72,-81,81,0,0.583796739578247,1,1,-1,-1,1,1,0.117612600326538
1,1,3,73,-81,81,0,0.400476932525635,-1,-1,1,1,-1,-1,0.333796739578247
1,1,3,74,-9,9,0,0.567116975784302,-1,-1,-1,-1,1,1,0.150476932525635
1,1,3,75,-3,3,0,0.500461101531982,-1,-1,-1,-1,-1,-1,0.317116975784302
1,1,3,76,-81,81,0,0.333791255950928,-1,-1,-1,-1,-1,-1,0.250461101531982
1,1,3,77,-9,9,0,0.383822917938232,-1,-1,-1,-1,-1,-1,0.0837912559509277
1,1,3,78,-3,3,0,0.550465106964111,-1,-1,-1,-1,-1,-1,0.133822917938232
1,1,3,79,-27,27,0,0.434255123138428,-1,-1,-1,-1,-1,-1,0.300465106964111
1,1,3,80,-9,9,0,0.600481033325195,-1,-1,-1,-1,-1,-1,0.184255123138428
1,1,3,81,81,81,1,0.400492906570435,-1,-1,-1,-1,-1,-1,0.350481033325195
1,1,3,82,9,9,1,0.633795499801636,1,1,-1,-1,-1,-1,0.150492906570435
1,1,3,83,-27,27,0,0.433808326721191,1,1,1,1,-1,-1,0.383795499801636
1,1,3,84,-27,27,0,0.483791589736938,-1,-1,1,1,1,1,0.183808326721191
1,1,3,85,-27,27,0,0.250940799713135,-1,-1,-1,-1,1,1,0.233791589736938
1,1,3,86,-9,9,1,0.650485992431641,-1,-1,-1,-1,-1,-1,0.000940799713134766
