correct,rt,stimulus,isi,subj_idx,session,trial,response,prevresp,prev2resp,prev3resp,prevstim,prev2stim,prev3stim,prevrt
1,0.702851374622696,1,6.364,109,3,31,1,-1,-1,1,-1,-1,1,NaN
1,1.29858550973859,1,5.577,109,3,32,1,1,-1,-1,1,-1,-1,NaN
1,0.730388957575087,-1,5.81,109,3,33,0,1,1,-1,1,1,-1,NaN
1,0.698171897535758,-1,5.5,109,3,34,0,-1,1,1,-1,1,1,NaN
1,0.773950454720762,-1,5.161,109,3,35,0,-1,-1,1,-1,-1,1,NaN
1,0.644474346686366,1,6.08,109,3,36,1,-1,-1,-1,-1,-1,-1,NaN
1,0.946941929114473,1,6.11,109,3,37,1,1,-1,-1,1,-1,-1,NaN
1,0.64905719249964,1,5.795,109,3,38,1,1,1,-1,1,1,-1,NaN
1,0.746630550960617,1,5.668,109,3,39,1,1,1,1,1,1,1,NaN
1,0.555738452837431,1,6.276,109,3,40,1,1,1,1,1,1,1,NaN
0,0.734087369811277,-1,5.894,109,3,41,1,1,1,1,1,1,1,NaN
1,0.965522307471474,1,5.63,109,3,42,1,1,1,1,-1,1,1,NaN
1,0.677364435996424,1,5.5,109,3,43,1,1,1,1,1,-1,1,NaN
1,0.606629353518656,1,6.182,109,3,44,1,1,1,1,1,1,-1,NaN
1,0.86160825395109,-1,5.743,109,3,45,0,1,1,1,1,1,1,NaN
1,0.664775743864993,1,6.147,109,3,46,1,-1,1,1,-1,1,1,NaN
1,0.779438783662044,-1,5.477,109,3,47,0,1,-1,1,1,-1,1,NaN
1,0.663096863701867,1,5.006,109,3,48,1,-1,1,-1,-1,1,-1,NaN
1,0.849650693032345,1,5.964,109,3,49,1,1,-1,1,1,-1,1,NaN
1,0.694736307379571,1,5.809,109,3,50,1,1,1,-1,1,1,-1,NaN
1,0.632258370001182,-1,5.216,109,3,51,0,1,1,1,1,1,1,NaN
1,0.756791461972171,-1,5.112,109,3,52,0,-1,1,1,-1,1,1,NaN
1,0.660019835110688,1,5.458,109,3,53,1,-1,-1,1,-1,-1,1,NaN
1,0.732302542971411,1,6.361,109,3,54,1,1,-1,-1,1,-1,-1,NaN
1,0.598891509373061,1,5.485,109,3,55,1,1,1,-1,1,1,-1,NaN
1,1.03980925067572,-1,5.955,109,3,56,0,1,1,1,1,1,1,NaN
1,0.586608514491672,1,5.297,109,3,57,1,-1,1,1,-1,1,1,NaN
1,0.592074260383924,1,6.149,109,3,58,1,1,-1,1,1,-1,1,NaN
1,0.693771430393099,1,6.199,109,3,59,1,1,1,-1,1,1,-1,NaN
1,0.878058248065827,1,5.194,109,3,60,1,1,1,1,1,1,1,NaN
1,0.795501550823246,-1,6.164,109,3,61,0,1,1,1,1,1,1,NaN
1,0.67875437427665,-1,5.486,109,3,62,0,-1,1,1,-1,1,1,NaN
1,1.1392392282487,1,5.074,109,3,63,1,-1,-1,1,-1,-1,1,NaN
1,0.731499127171446,-1,5.574,109,3,64,0,1,-1,-1,1,-1,-1,NaN
1,0.599531764421044,-1,5.427,109,3,65,0,-1,1,-1,-1,1,-1,NaN
1,0.646159967244785,-1,5.596,109,3,66,0,-1,-1,1,-1,-1,1,NaN
1,0.878712397761774,1,6.338,109,3,67,1,-1,-1,-1,-1,-1,-1,NaN
1,0.973252384750595,-1,5.557,109,3,68,0,1,-1,-1,1,-1,-1,NaN
1,0.532885519872252,1,5.625,109,3,69,1,-1,1,-1,-1,1,-1,NaN
1,0.749321029611565,1,5.926,109,3,70,1,1,-1,1,1,-1,1,NaN
1,0.833123255813916,1,5.15,109,3,71,1,1,1,-1,1,1,-1,NaN
1,1.02357648822181,-1,5.805,109,3,72,0,1,1,1,1,1,1,NaN
0,0.770107149021896,-1,6.037,109,3,73,1,-1,1,1,-1,1,1,NaN
1,1.05674486927182,1,5.378,109,3,74,1,1,-1,1,-1,-1,1,NaN
1,0.695166860956306,-1,5.145,109,3,75,0,1,1,-1,1,-1,-1,NaN
1,0.643730091990619,-1,5.932,109,3,76,0,-1,1,1,-1,1,-1,NaN
1,0.710038929134498,-1,5.207,109,3,77,0,-1,-1,1,-1,-1,1,NaN
1,0.765767981903082,-1,6.246,109,3,78,0,-1,-1,-1,-1,-1,-1,NaN
1,0.838970326771232,1,6.291,109,3,80,1,1,-1,-1,-1,-1,-1,NaN
1,0.785822072755764,-1,5.358,109,3,81,0,1,1,-1,1,-1,-1,NaN
1,0.598025766748833,1,5.9,109,3,82,1,-1,1,1,-1,1,-1,NaN
0,0.942904308896686,1,5.203,109,3,83,0,1,-1,1,1,-1,1,NaN
1,0.752995114448822,-1,5.935,109,3,84,0,-1,1,-1,1,1,-1,NaN
1,0.589839827788637,-1,6.435,109,3,85,0,-1,-1,1,-1,1,1,NaN
1,0.876253169642041,-1,6.086,109,3,86,0,-1,-1,-1,-1,-1,1,NaN
1,0.606221848500354,1,5.591,109,3,87,1,-1,-1,-1,-1,-1,-1,NaN
1,0.733104379834003,-1,5.381,109,3,88,0,1,-1,-1,1,-1,-1,NaN
1,0.591784356427524,-1,5.561,109,3,89,0,-1,1,-1,-1,1,-1,NaN
1,0.62929706964951,-1,6.296,109,3,90,0,-1,-1,1,-1,-1,1,NaN
1,0.965059340900552,-1,6.1,109,3,91,0,-1,-1,-1,-1,-1,-1,NaN
1,0.709264603369775,-1,5.178,109,3,92,0,-1,-1,-1,-1,-1,-1,NaN
1,0.644204205268579,-1,5.968,109,3,93,0,-1,-1,-1,-1,-1,-1,NaN
1,0.757701910742981,1,6.327,109,3,94,1,-1,-1,-1,-1,-1,-1,NaN
1,0.816980575805246,-1,6.172,109,3,95,0,1,-1,-1,1,-1,-1,NaN
1,0.620555201992829,1,5.034,109,3,96,1,-1,1,-1,-1,1,-1,NaN
1,0.604067689651856,1,5.425,109,3,97,1,1,-1,1,1,-1,1,NaN
1,0.53107131336219,1,5.813,109,3,98,1,1,1,-1,1,1,-1,NaN
1,0.594800088591001,-1,6.309,109,3,99,0,1,1,1,1,1,1,NaN
1,0.751263043065592,1,5.342,109,3,100,1,-1,1,1,-1,1,1,NaN
1,0.753417228394028,-1,5.592,109,4,2,0,-1,1,-1,-1,1,-1,NaN
1,0.581555697903241,-1,6.292,109,4,3,0,-1,-1,1,-1,-1,1,NaN
0,0.600965875345537,1,5.832,109,4,4,0,-1,-1,-1,-1,-1,-1,NaN
1,0.943866077044731,-1,6.117,109,4,5,0,-1,-1,-1,1,-1,-1,NaN
1,0.876354665219878,-1,5.359,109,4,6,0,-1,-1,-1,-1,1,-1,NaN
1,0.647282944864855,-1,5.801,109,4,7,0,-1,-1,-1,-1,-1,1,NaN
1,0.874548037933891,1,5.168,109,4,8,1,-1,-1,-1,-1,-1,-1,NaN
1,0.704236752947509,-1,5.49,109,4,9,0,1,-1,-1,1,-1,-1,NaN
1,0.984720486626429,1,5.738,109,4,10,1,-1,1,-1,-1,1,-1,NaN
1,0.669789079509428,-1,5.68,109,4,11,0,1,-1,1,1,-1,1,NaN
1,1.14606310844647,1,5.322,109,4,12,1,-1,1,-1,-1,1,-1,NaN
1,0.91846223169523,-1,5.404,109,4,13,0,1,-1,1,1,-1,1,NaN
1,0.803005373943051,-1,6.477,109,4,14,0,-1,1,-1,-1,1,-1,NaN
1,0.75060796823891,-1,5.024,109,4,15,0,-1,-1,1,-1,-1,1,NaN
1,0.731282576119156,1,5.264,109,4,16,1,-1,-1,-1,-1,-1,-1,NaN
1,0.691899002622449,1,5.529,109,4,17,1,1,-1,-1,1,-1,-1,NaN
1,0.59436076815382,-1,5.212,109,4,18,0,1,1,-1,1,1,-1,NaN
